City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sao Filipe,CV,2022-07-31 04:59:44,14.8961,-24.4956,77.27,79,98,7.4
1,Clyde River,CA,2022-07-31 04:59:44,70.4692,-68.5914,35.83,100,100,11.5
2,Hanna,CA,2022-07-31 04:59:45,51.6334,-111.9018,62.85,88,84,4.72
3,Barrow,US,2022-07-31 04:57:53,71.2906,-156.7887,35.62,87,100,10.36
4,Mataura,NZ,2022-07-31 04:56:24,-46.1927,168.8643,48.47,93,99,6.33
5,Sisimiut,GL,2022-07-31 04:59:45,66.9395,-53.6735,44.64,85,67,1.97
6,Richards Bay,ZA,2022-07-31 04:59:46,-28.783,32.0377,63.1,85,53,4.88
7,Torbay,CA,2022-07-31 04:59:46,47.6666,-52.7314,65.57,88,100,16.11
8,Cape Town,ZA,2022-07-31 04:59:47,-33.9258,18.4232,48.11,92,20,1.14
9,Namatanai,PG,2022-07-31 04:59:47,-3.6667,152.4333,83.95,69,78,10.27
10,Norman Wells,CA,2022-07-31 04:59:47,65.282,-126.8329,64.44,52,20,8.05
11,Kilindoni,TZ,2022-07-31 04:59:48,-7.9139,39.6668,75.25,80,8,9.89
12,Yuryev-Polskiy,RU,2022-07-31 04:59:48,56.5,39.6833,61.59,64,99,4.79
13,Puerto Cabezas,NI,2022-07-31 04:59:49,14.0351,-83.3888,77.9,90,100,11.1
14,Qaanaaq,GL,2022-07-31 04:59:49,77.484,-69.3632,39.88,70,17,4.97
15,Vaini,TO,2022-07-31 04:59:49,-21.2,-175.2,77.16,100,40,9.22
16,Kosino,RU,2022-07-31 04:59:50,58.4127,51.2782,69.28,63,51,2.8
17,Port Elizabeth,ZA,2022-07-31 04:59:50,-33.918,25.5701,51.31,85,100,20.71
18,Jamestown,US,2022-07-31 04:59:51,42.097,-79.2353,62.71,67,1,1.01
19,Ushuaia,AR,2022-07-31 04:59:51,-54.8,-68.3,40.66,81,20,23.02
20,Bambous Virieux,MU,2022-07-31 04:55:10,-20.3428,57.7575,72.21,68,40,14.97
21,Albany,US,2022-07-31 04:59:52,42.6001,-73.9662,65.17,87,0,4.16
22,Vitim,RU,2022-07-31 04:59:52,59.4511,112.5578,80.31,49,100,1.5
23,East London,ZA,2022-07-31 04:55:20,-33.0153,27.9116,52.74,62,0,12.66
24,New Norfolk,AU,2022-07-31 04:59:53,-42.7826,147.0587,53.1,76,100,1.99
25,Nikolskoye,RU,2022-07-31 04:59:53,59.7035,30.7861,62.87,72,10,5.75
26,Noumea,NC,2022-07-31 04:57:29,-22.2763,166.4572,72.0,99,100,17.69
27,Khatanga,RU,2022-07-31 04:59:54,71.9667,102.5,53.67,65,99,12.5
28,Oxford,GB,2022-07-31 04:57:38,51.7522,-1.256,67.17,86,97,12.97
29,Arraial Do Cabo,BR,2022-07-31 04:59:54,-22.9661,-42.0278,66.34,68,3,12.71
30,Mackenzie,CA,2022-07-31 04:59:09,55.2999,-123.1698,68.22,94,40,0.0
31,Garowe,SO,2022-07-31 04:59:55,8.4054,48.4845,77.41,55,46,27.27
32,Victoria Point,AU,2022-07-31 04:59:55,-27.5833,153.3,69.26,62,91,3.0
33,Punta Arenas,CL,2022-07-31 04:59:56,-53.15,-70.9167,42.91,61,0,10.36
34,Cap Malheureux,MU,2022-07-31 04:59:56,-19.9842,57.6142,72.46,68,99,11.99
35,Sola,VU,2022-07-31 04:59:57,-13.8833,167.55,80.44,74,99,10.0
36,Hithadhoo,MV,2022-07-31 04:59:57,-0.6,73.0833,80.1,76,100,16.96
37,Xuanwu,CN,2022-07-31 04:59:57,32.069,118.8138,91.35,52,15,6.76
38,Esperance,AU,2022-07-31 04:59:58,-33.8667,121.9,58.53,56,35,16.64
39,Tuktoyaktuk,CA,2022-07-31 04:59:59,69.4541,-133.0374,48.2,66,20,8.05
40,Willmar,US,2022-07-31 04:59:59,45.1219,-95.0433,71.78,60,0,3.44
41,Hasaki,JP,2022-07-31 04:59:59,35.7333,140.8333,104.29,72,2,9.51
42,Rikitea,PF,2022-07-31 05:00:00,-23.1203,-134.9692,72.9,74,12,16.42
43,Hobart,AU,2022-07-31 05:00:00,-42.8794,147.3294,53.46,71,75,10.36
44,Puerto Ayora,EC,2022-07-31 04:56:06,-0.7393,-90.3518,70.56,93,56,8.01
45,Mandalgovi,MN,2022-07-31 05:01:01,45.7625,106.2708,82.15,20,43,7.16
46,Kapaa,US,2022-07-31 05:01:02,22.0752,-159.319,78.48,85,11,3.0
47,Busselton,AU,2022-07-31 05:01:02,-33.65,115.3333,57.16,69,71,11.86
48,Dabhol,IN,2022-07-31 05:01:02,17.6,73.1667,82.44,76,47,8.32
49,Russell,US,2022-07-31 05:01:03,32.3502,-85.1999,76.12,75,67,4.12
50,Trairi,BR,2022-07-31 04:59:53,-3.2778,-39.2689,75.9,87,93,7.45
51,Praia Da Vitoria,PT,2022-07-31 05:01:03,38.7333,-27.0667,69.76,88,1,3.58
52,Mahebourg,MU,2022-07-31 05:01:04,-20.4081,57.7,72.25,78,75,13.8
53,Tura,IN,2022-07-31 05:01:04,25.5198,90.2201,75.9,97,100,5.1
54,Bethel,US,2022-07-31 05:01:05,41.3712,-73.414,71.64,82,0,4.23
55,Kirakira,SB,2022-07-31 05:01:05,-10.4544,161.9205,83.82,71,13,10.87
56,Maumere,ID,2022-07-31 05:01:05,-8.6199,122.2111,83.1,65,41,3.69
57,Carnarvon,AU,2022-07-31 05:01:06,-24.8667,113.6333,72.37,35,38,7.96
58,Faanui,PF,2022-07-31 05:01:06,-16.4833,-151.75,79.21,71,2,22.86
59,Nhulunbuy,AU,2022-07-31 05:01:07,-12.2333,136.7667,84.81,61,40,14.97
60,Quatre Cocos,MU,2022-07-31 05:01:07,-20.2078,57.7625,72.09,73,93,16.15
61,Mancora,PE,2022-07-31 04:59:23,-4.1078,-81.0475,67.75,78,17,6.85
62,Tire,TR,2022-07-31 05:01:08,38.0888,27.7351,80.91,40,0,4.52
63,Coahuayana,MX,2022-07-31 05:01:09,18.7333,-103.6833,78.17,85,99,2.1
64,Bredasdorp,ZA,2022-07-31 05:01:09,-34.5322,20.0403,47.14,82,32,4.21
65,Longyearbyen,SJ,2022-07-31 05:01:09,78.2186,15.6401,46.24,93,75,4.61
66,Atuona,PF,2022-07-31 05:01:10,-9.8,-139.0333,76.69,78,15,13.49
67,Los Llanos De Aridane,ES,2022-07-31 05:01:10,28.6585,-17.9182,69.55,69,75,12.66
68,Corrente,BR,2022-07-31 05:01:11,-3.7367,-43.3394,71.31,99,98,3.62
69,Bogande,BF,2022-07-31 05:01:11,12.9714,-0.1436,79.16,72,65,7.49
70,San Isidro,PE,2022-07-31 05:01:11,-12.1167,-77.05,58.01,86,19,10.04
71,Thompson,CA,2022-07-31 04:56:33,55.7435,-97.8558,48.36,81,20,0.0
72,Vila Franca Do Campo,PT,2022-07-31 05:01:12,37.7167,-25.4333,68.41,85,26,5.26
73,Isangel,VU,2022-07-31 05:01:13,-19.55,169.2667,74.57,82,100,7.05
74,Piracanjuba,BR,2022-07-31 05:01:13,-17.3028,-49.0167,64.56,53,0,4.05
75,Provideniya,RU,2022-07-31 04:57:59,64.3833,-173.3,50.88,75,99,6.11
76,Marsh Harbour,BS,2022-07-31 05:01:14,26.5412,-77.0636,82.92,75,95,15.86
77,Valdivia,CL,2022-07-31 05:00:20,-39.8142,-73.2459,36.66,99,50,2.57
78,Goma,CD,2022-07-31 05:01:14,-1.6792,29.2228,63.12,83,33,2.3
79,Jalu,LY,2022-07-31 05:01:15,29.0331,21.5482,79.95,40,0,7.72
80,The Valley,AI,2022-07-31 05:01:15,18.217,-63.0578,82.81,85,19,20.78
81,Saint-Philippe,RE,2022-07-31 05:01:16,-21.3585,55.7679,73.22,72,39,14.29
82,Kamaishi,JP,2022-07-31 05:01:16,39.2667,141.8833,85.32,63,11,3.4
83,Baloda,IN,2022-07-31 05:01:16,22.15,82.4833,91.31,50,96,7.54
84,Saint George,US,2022-07-31 04:58:17,37.1041,-113.5841,86.79,44,64,2.37
85,Muros,ES,2022-07-31 05:01:17,42.7762,-9.0603,69.1,71,1,12.71
86,Kallifonion,GR,2022-07-31 05:01:18,39.2725,21.9561,79.32,42,0,1.23
87,Cherskiy,RU,2022-07-31 05:01:18,68.75,161.3,68.74,36,19,12.26
88,Kuminskiy,RU,2022-07-31 05:01:18,58.6667,66.5667,71.1,68,81,7.81
89,Saint-Pierre,RE,2022-07-31 05:02:19,-21.3393,55.4781,73.29,58,0,3.44
90,Nanortalik,GL,2022-07-31 05:01:57,60.1432,-45.2371,43.92,89,91,2.01
91,Makakilo City,US,2022-07-31 05:02:20,21.3469,-158.0858,80.56,68,3,17.87
92,Gavrilov Posad,RU,2022-07-31 05:02:20,56.5597,40.1175,62.65,62,98,4.85
93,Kendari,ID,2022-07-31 05:02:21,-3.945,122.4989,75.34,95,100,3.74
94,Bilma,NE,2022-07-31 05:02:21,18.6853,12.9164,85.82,39,61,9.06
95,Bluff,NZ,2022-07-31 05:02:21,-46.6,168.3333,48.79,74,67,13.35
96,Wyndham,US,2022-07-31 05:02:22,37.6985,-77.6125,72.99,91,0,0.0
97,Goderich,CA,2022-07-31 05:01:07,43.7501,-81.7165,65.91,81,4,12.86
98,Arcata,US,2022-07-31 04:58:15,40.8665,-124.0828,61.2,89,56,0.87
99,Katsuura,JP,2022-07-31 05:02:23,35.1333,140.3,86.68,70,2,16.64
100,Simao,CN,2022-07-31 05:02:23,22.7886,100.9748,71.1,91,99,1.41
101,Cabo San Lucas,MX,2022-07-31 05:00:06,22.8909,-109.9124,86.61,61,41,3.0
102,Chapais,CA,2022-07-31 05:02:24,49.7834,-74.8492,62.38,85,99,5.61
103,Krutinka,RU,2022-07-31 05:02:24,56.0055,71.5113,66.63,76,54,8.84
104,Carutapera,BR,2022-07-31 05:02:25,-1.195,-46.02,76.23,91,55,5.86
105,Tilichiki,RU,2022-07-31 05:02:25,60.4667,166.1,53.73,76,99,7.63
106,Vestmannaeyjar,IS,2022-07-31 05:02:25,63.4427,-20.2734,49.64,78,15,15.1
107,Pilar,BR,2022-07-31 05:02:26,-9.5972,-35.9567,75.13,95,85,3.33
108,Dongning,CN,2022-07-31 05:02:26,44.0622,131.1207,84.2,79,99,4.14
109,Matara,LK,2022-07-31 05:02:27,5.9485,80.5353,84.22,70,89,11.79
110,Shingu,JP,2022-07-31 05:02:27,33.7333,135.9833,88.3,62,45,9.04
111,Mut,TR,2022-07-31 05:02:28,36.6439,33.4389,87.48,26,0,4.07
112,Fuerte Olimpo,PY,2022-07-31 05:02:28,-21.0415,-57.8738,60.78,50,0,4.03
113,Junagarh,IN,2022-07-31 05:02:29,19.8667,82.9333,90.45,56,100,5.21
114,Kununurra,AU,2022-07-31 05:02:29,-15.7667,128.7333,89.58,14,19,6.91
115,Te Anau,NZ,2022-07-31 05:02:29,-45.4167,167.7167,40.5,90,62,1.21
116,Groton,US,2022-07-31 05:02:30,41.3501,-72.0784,74.08,60,0,3.44
117,Marawi,PH,2022-07-31 05:02:30,7.9986,124.2928,76.55,81,100,1.07
118,San Juan,AR,2022-07-31 05:02:30,-31.5375,-68.5364,54.7,38,0,4.81
119,Castro,BR,2022-07-31 05:01:59,-24.7911,-50.0119,44.08,85,7,3.24
120,Quirinopolis,BR,2022-07-31 05:02:31,-18.4483,-50.4517,67.6,47,0,2.73
121,Narsaq,GL,2022-07-31 05:02:32,60.9167,-46.05,46.62,92,40,3.04
122,Lebu,CL,2022-07-31 05:02:32,-37.6167,-73.65,46.58,88,67,3.65
123,Hermanus,ZA,2022-07-31 05:02:32,-34.4187,19.2345,52.79,62,70,2.1
124,Ketchikan,US,2022-07-31 05:02:33,55.3422,-131.6461,62.15,94,100,1.12
125,Airai,TL,2022-07-31 05:02:33,-8.9266,125.4092,75.06,49,36,4.14
126,Grindavik,IS,2022-07-31 04:57:46,63.8424,-22.4338,49.95,87,75,6.91
127,Rayagada,IN,2022-07-31 05:02:34,19.1667,83.4167,89.69,62,100,1.86
128,Port Alfred,ZA,2022-07-31 05:02:34,-33.5906,26.891,54.12,71,12,20.47
129,Riyadh,SA,2022-07-31 05:00:01,24.6877,46.7219,93.09,46,72,8.97
130,Touros,BR,2022-07-31 05:00:59,-5.1989,-35.4608,75.94,85,99,11.16
131,Shebunino,RU,2022-07-31 05:02:35,46.4339,141.8603,72.66,74,58,10.04
132,Santa Isabel,BR,2022-07-31 05:02:35,-23.3156,-46.2214,45.95,97,17,0.96
133,Vardo,NO,2022-07-31 05:03:36,70.3705,31.1107,51.78,100,100,10.36
134,Mount Gambier,AU,2022-07-31 05:03:36,-37.8333,140.7667,55.31,76,75,17.27
135,Butaritari,KI,2022-07-31 05:00:24,3.0707,172.7902,81.63,70,89,17.11
136,College,US,2022-07-31 05:03:37,64.8569,-147.8028,70.2,60,100,10.36
137,Coquimbo,CL,2022-07-31 05:03:37,-29.9533,-71.3436,55.13,94,100,2.3
138,Dikson,RU,2022-07-31 05:02:12,73.5069,80.5464,41.11,92,82,11.25
139,Alice Springs,AU,2022-07-31 05:03:38,-23.7,133.8833,74.75,17,100,8.05
140,Ranau,MY,2022-07-31 05:03:38,5.9538,116.6641,81.36,78,86,0.67
141,Muana,BR,2022-07-31 05:03:39,-1.5283,-49.2167,74.57,94,100,3.49
142,Ulaangom,MN,2022-07-31 05:01:14,49.9811,92.0667,73.87,44,100,5.39
143,Sebinkarahisar,TR,2022-07-31 05:03:40,40.2883,38.4236,63.84,51,0,2.39
144,Muzhi,RU,2022-07-31 05:03:40,65.3667,64.6667,61.59,48,8,12.06
145,Hervey Bay,AU,2022-07-31 05:03:40,-25.2986,152.8535,68.02,66,99,3.0
146,Yellowknife,CA,2022-07-31 05:03:24,62.456,-114.3525,53.44,75,85,5.99
147,Rosignol,GY,2022-07-31 05:03:41,6.2833,-57.5333,74.44,89,75,3.02
148,Gdov,RU,2022-07-31 05:03:42,58.7406,27.8122,61.84,74,7,7.67
149,Hilo,US,2022-07-31 05:02:40,19.7297,-155.09,77.29,95,60,6.11
150,Roald,NO,2022-07-31 05:03:42,62.5833,6.1333,62.17,94,75,9.22
151,Tasiilaq,GL,2022-07-31 05:02:17,65.6145,-37.6368,35.76,59,20,6.6
152,Fernie,CA,2022-07-31 05:01:07,49.5,-115.0687,68.29,60,86,6.93
153,Krasne,UA,2022-07-31 05:03:43,49.9145,24.6134,64.15,93,100,2.66
154,Innisfail,AU,2022-07-31 05:03:43,-17.5333,146.0333,71.82,79,100,7.07
155,Karksi-Nuia,EE,2022-07-31 05:03:44,58.1033,25.5628,51.78,75,46,0.31
156,Chokurdakh,RU,2022-07-31 05:03:44,70.6333,147.9167,72.03,37,9,6.24
157,Rantepao,ID,2022-07-31 05:03:44,-2.9701,119.8978,70.57,97,100,2.55
158,Luderitz,NA,2022-07-31 05:02:38,-26.6481,15.1594,50.85,69,0,17.47
159,Bandarbeyla,SO,2022-07-31 05:03:45,9.4942,50.8122,80.89,61,64,27.81
160,Nadym,RU,2022-07-31 05:03:45,65.5333,72.5167,59.85,47,7,16.17
161,Hluti,SZ,2022-07-31 05:03:46,-27.2167,31.6167,56.21,92,57,1.48
162,Mar Del Plata,AR,2022-07-31 04:59:21,-38.0023,-57.5575,49.87,95,0,4.0
163,Saskylakh,RU,2022-07-31 05:01:51,71.9167,114.0833,51.89,93,100,11.01
164,Lambarene,GA,2022-07-31 05:03:47,-0.7001,10.2406,68.81,96,28,2.73
165,Port Hardy,CA,2022-07-31 05:01:09,50.6996,-127.4199,60.78,93,11,9.86
166,Kahului,US,2022-07-31 05:03:47,20.8947,-156.47,80.62,65,40,21.85
167,Ettlingen,DE,2022-07-31 05:03:48,48.9409,8.4076,66.72,61,100,3.38
168,Pevek,RU,2022-07-31 05:03:48,69.7008,170.3133,50.5,57,14,7.45
169,Aswan,EG,2022-07-31 04:59:47,24.0934,32.907,87.1,20,0,5.75
170,Khasan,RU,2022-07-31 05:03:49,42.4308,130.6434,76.5,87,99,8.48
171,Balkanabat,TM,2022-07-31 05:03:49,39.5108,54.3671,87.96,38,57,5.75
172,Kavieng,PG,2022-07-31 05:03:17,-2.5744,150.7967,84.81,64,78,10.18
173,Lappeenranta,FI,2022-07-31 05:01:48,61.0587,28.1887,56.55,82,0,4.61
174,Samarai,PG,2022-07-31 05:03:50,-10.6167,150.6667,80.89,79,9,11.18
175,Mogadishu,SO,2022-07-31 04:58:55,2.0371,45.3438,76.87,78,40,13.8
176,Yenagoa,NG,2022-07-31 05:03:51,4.9247,6.2642,72.1,96,100,3.94
177,Komsomolskiy,UZ,2022-07-31 05:03:51,40.4272,71.7189,84.92,30,84,4.61
178,Hambantota,LK,2022-07-31 05:04:51,6.1241,81.1185,84.54,84,20,10.36
179,Novikovo,RU,2022-07-31 05:04:52,51.1537,37.8879,69.93,56,84,7.11
180,Ust-Nera,RU,2022-07-31 05:04:52,64.5667,143.2,73.78,54,90,2.66
181,Bengkulu,ID,2022-07-31 05:02:28,-3.8004,102.2655,84.67,64,99,5.39
182,Saltpond,GH,2022-07-31 05:04:53,5.2091,-1.0606,72.75,88,100,8.43
183,Zhangye,CN,2022-07-31 05:04:53,38.9342,100.4517,89.49,23,71,1.01
184,Saldanha,ZA,2022-07-31 05:04:54,-33.0117,17.9442,50.63,77,7,10.47
185,Kulhudhuffushi,MV,2022-07-31 05:04:54,6.6221,73.07,80.64,81,100,19.37
186,Chuy,UY,2022-07-31 05:04:55,-33.6971,-53.4616,47.95,80,50,4.05
187,Avarua,CK,2022-07-31 05:04:55,-21.2078,-159.775,75.25,73,40,14.97
188,Bayir,TR,2022-07-31 05:04:55,37.2687,28.2167,68.52,32,0,4.59
189,Kinshasa,CD,2022-07-31 05:03:50,-4.3246,15.3215,69.64,77,18,6.85
190,Moussoro,TD,2022-07-31 05:04:56,13.6408,16.4901,77.94,73,81,9.84
191,Kiama,AU,2022-07-31 05:04:56,-34.6833,150.8667,62.58,55,100,5.01
192,Shubarkuduk,KZ,2022-07-31 05:04:57,49.1447,56.4872,77.49,44,8,5.08
